id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
xoi7Cw7FoknAx5p880RtWQ,au-cheval-chicago,Au Cheval,https://s3-media0.fl.yelpcdn.com/bphoto/vKY9dRK2GM6eQDP-Cxg_tw/o.jpg,False,https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,9326,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American'}]",4.4,"['delivery', 'pickup']",$$,+13129294580,(312) 929-4580,3382.5619870115283,41.88466,-87.647668,800 W Randolph St,,,Chicago,60607,US,IL,"['800 W Randolph St', 'Chicago, IL 60607']"
gzhkdb6YoiFm5s3vriG1AA,gretel-chicago,Gretel,https://s3-media0.fl.yelpcdn.com/bphoto/-dxigk6aymnMlFvQ4xrQmg/o.jpg,False,https://www.yelp.com/biz/gretel-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,415,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,"['delivery', 'pickup']",$$,+17737703427,(773) 770-3427,2181.370354175089,41.917275,-87.698577,2833 W Armitage Ave,,,Chicago,60647,US,IL,"['2833 W Armitage Ave', 'Chicago, IL 60647']"
1Q7RL7Hc63wKa2A9ec3zXw,il-porcellino-chicago,Il Porcellino,https://s3-media0.fl.yelpcdn.com/bphoto/zrAfaD2GsQLkel9UZAjZdg/o.jpg,False,https://www.yelp.com/biz/il-porcellino-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1648,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]",4.4,"['delivery', 'pickup']",$$,+13125950800,(312) 595-0800,4279.188564018985,41.88996108569464,-87.63029733223148,59 W Hubbard St,,,Chicago,60654,US,IL,"['59 W Hubbard St', 'Chicago, IL 60654']"
ngB0iQM1Yz7Nx_tQZqU7NA,daisies-chicago,Daisies,https://s3-media0.fl.yelpcdn.com/bphoto/_sOKwd53ToEsElmBUjC2Dw/o.jpg,False,https://www.yelp.com/biz/daisies-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,690,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,"['delivery', 'pickup']",$$$,+17736979443,(773) 697-9443,2799.3558599154912,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,,,Chicago,60647,US,IL,"['2375 N Milwaukee Ave', 'Chicago, IL 60647']"
tuJraaFffIS_JNK_4ZqGTA,ema-chicago-6,Ema,https://s3-media0.fl.yelpcdn.com/bphoto/EA7Wq13hk7PKgZ4xl5hUJQ/o.jpg,False,https://www.yelp.com/biz/ema-chicago-6?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1851,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'salad', 'title': 'Salad'}]",4.3,"['delivery', 'pickup']",$$,+13125275586,(312) 527-5586,4189.6572301334145,41.890964390624795,-87.63090253497006,74 W Illinois St,,,Chicago,60654,US,IL,"['74 W Illinois St', 'Chicago, IL 60654']"
0IYXh7l_VppKw5y97FehoA,kasama-chicago,Kasama,https://s3-media0.fl.yelpcdn.com/bphoto/APJhh2bUtv_eUTh3GDtw_Q/o.jpg,False,https://www.yelp.com/biz/kasama-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1230,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'newamerican', 'title': 'New American'}]",4.5,['delivery'],$$,+17736973790,(773) 697-3790,641.86023053467,41.899692,-87.6756,1001 N Winchester Ave,,,Chicago,60622,US,IL,"['1001 N Winchester Ave', 'Chicago, IL 60622']"
wfkj7DK8YzhdwhhFc2OntA,giant-chicago-2,Giant,https://s3-media0.fl.yelpcdn.com/bphoto/RHnjotvmwoObOE95kt5Prg/o.jpg,False,https://www.yelp.com/biz/giant-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,737,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.3,['delivery'],$$$,+17732520997,(773) 252-0997,2803.5554542384516,41.9171,-87.70746,3209 W Armitage Ave,,,Chicago,60647,US,IL,"['3209 W Armitage Ave', 'Chicago, IL 60647']"
zm6Peew9j8YtowzUu4sQfA,the-whale-chicago-chicago,The Whale Chicago,https://s3-media0.fl.yelpcdn.com/bphoto/gdXiK79yPcmR9T1nKE2h9g/o.jpg,False,https://www.yelp.com/biz/the-whale-chicago-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1047,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.2,"['delivery', 'pickup']",$$,+17738252900,(773) 825-2900,2975.457964091856,41.92555,-87.70112,2427 N Milwaukee Ave,,,Chicago,60647,US,IL,"['2427 N Milwaukee Ave', 'Chicago, IL 60647']"
Z8K7SVH-B7ZVAVD9aFIK8w,bar-mar-by-josé-andrés-chicago-2,Bar Mar,https://s3-media0.fl.yelpcdn.com/bphoto/ZfSYel2Muyh1hAqf6eRYZg/o.jpg,False,https://www.yelp.com/biz/bar-mar-by-jos%C3%A9-andr%C3%A9s-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,556,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,[],$$$,+13128206602,(312) 820-6602,4102.904355999825,41.883835,-87.6372458,120 N Wacker Dr,,,Chicago,60606,US,IL,"['120 N Wacker Dr', 'Chicago, IL 60606']"
W2QV6SILHer3qB_-CZ1z1A,etta-bucktown-chicago,etta - Bucktown,https://s3-media0.fl.yelpcdn.com/bphoto/vyMZ9UM1wC1AwZrSZouyJQ/o.jpg,False,https://www.yelp.com/biz/etta-bucktown-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1131,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.2,"['delivery', 'pickup']",$$$,+17737302277,(773) 730-2277,669.6763838223678,41.910731,-87.674285,1840 W North Ave,,,Chicago,60622,US,IL,"['1840 W North Ave', 'Chicago, IL 60622']"
ZXsqdTNHSqxBxCXcbmOiLA,bigsuda-chicago,Bigsuda,https://s3-media0.fl.yelpcdn.com/bphoto/Yb2j5vOw3H-Mu_0dfAtiQA/o.jpg,False,https://www.yelp.com/biz/bigsuda-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,44,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,[],,+18722068678,(872) 206-8678,513.3737560038392,41.906445,-87.671742,1362 N Milwaukee Ave,,,Chicago,60622,US,IL,"['1362 N Milwaukee Ave', 'Chicago, IL 60622']"
apyIymDFbUK7u-Y3V5kmkA,bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://s3-media0.fl.yelpcdn.com/bphoto/mhw9kdjyIBe1A0vGIKlI9Q/o.jpg,False,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,3390,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,['delivery'],$$$$,+13126248154,(312) 624-8154,3965.6928058367052,41.889295011779424,-87.63489302317039,218 W Kinzie,,,Chicago,60654,US,IL,"['218 W Kinzie', 'Chicago, IL 60654']"
okaqMJEoHfHblpKz9Q-CMA,the-perch-chicago,The Perch,https://s3-media0.fl.yelpcdn.com/bphoto/ffuLlvFIl7P8F_pkyFqBCA/o.jpg,False,https://www.yelp.com/biz/the-perch-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,580,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newamerican', 'title': 'New American'}]",4.4,"['delivery', 'pickup']",$$,+17734862739,(773) 486-2739,239.42719598525488,41.90348,-87.676221,1932 W Division,,,Chicago,60622,US,IL,"['1932 W Division', 'Chicago, IL 60622']"
kiwMgtypE3TRrUkmTwA2Zw,armitage-alehouse-chicago,Armitage Alehouse,https://s3-media0.fl.yelpcdn.com/bphoto/eW99z8kosu3zy1ZmTfcP4A/o.jpg,False,https://www.yelp.com/biz/armitage-alehouse-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,490,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,[],$$$,+17732706402,(773) 270-6402,2471.6093917614694,41.91838,-87.65359,1000 W Armitage Ave,,,Chicago,60614,US,IL,"['1000 W Armitage Ave', 'Chicago, IL 60614']"
vvhfPV-Llkd4fE2SHuLVvA,the-gage-chicago,The Gage,https://s3-media0.fl.yelpcdn.com/bphoto/cc3_kSvZf5RJVw3FnIe6bg/o.jpg,False,https://www.yelp.com/biz/the-gage-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,3628,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.2,"['delivery', 'pickup']",$$,+13123724243,(312) 372-4243,5131.438445540007,41.881369,-87.624698,24 S Michigan Ave,,,Chicago,60603,US,IL,"['24 S Michigan Ave', 'Chicago, IL 60603']"
owk55_aszZtVP-SQPyXTIQ,nora-restaurant-chicago,Nora Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/pkYVpOiAbnvFEf7SI0z-XA/o.jpg,False,https://www.yelp.com/biz/nora-restaurant-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,175,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sardinian', 'title': 'Sardinian'}]",4.4,"['delivery', 'pickup']",,+13128014446,(312) 801-4446,4718.8654159812195,41.89356,-87.62287,636 N St Clair St,Fl 1,,Chicago,60611,US,IL,"['636 N St Clair St', 'Fl 1', 'Chicago, IL 60611']"
faOpq9ORL0FlsMrou2NYug,amaru-chicago,Amaru,https://s3-media0.fl.yelpcdn.com/bphoto/tfmIEwKvIdytd-_ZBJnxyQ/o.jpg,False,https://www.yelp.com/biz/amaru-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,452,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.7,[],$$$,+17736879790,(773) 687-9790,628.4117946560697,41.91071,-87.67536,1904 W North Ave,,,Chicago,60622,US,IL,"['1904 W North Ave', 'Chicago, IL 60622']"
Z45eQgbnFWH--PYPLTFhNg,void-chicago,Void,https://s3-media0.fl.yelpcdn.com/bphoto/FT4jEyk1Rlfgtwt2rqcgeQ/o.jpg,False,https://www.yelp.com/biz/void-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,40,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.8,[],,,,4584.662883482383,41.93478,-87.716438,2937 N Milwaukee Ave,,,Chicago,60618,US,IL,"['2937 N Milwaukee Ave', 'Chicago, IL 60618']"
45Xno0A0IWY8A0JBgeQ7Eg,brasero-chicago,Brasero,https://s3-media0.fl.yelpcdn.com/bphoto/C42BGNjfcMnzWCTqzZbxyw/o.jpg,False,https://www.yelp.com/biz/brasero-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,111,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.6,[],,+18723422079,(872) 342-2079,1231.5429774185423,41.89570504072024,-87.67021413892508,1709 W Chicago Ave,,,Chicago,60622,US,IL,"['1709 W Chicago Ave', 'Chicago, IL 60622']"
UK5Xb8xqUOUBi5vQu0bQXQ,maple-and-ash-chicago,Maple & Ash,https://s3-media0.fl.yelpcdn.com/bphoto/lgSei6itROdbc1SGqqgTlA/o.jpg,False,https://www.yelp.com/biz/maple-and-ash-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2446,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.2,"['delivery', 'pickup']",$$$$,+13129448888,(312) 944-8888,4073.8162241474706,41.9021130633339,-87.6286945502972,8 W Maple St,,,Chicago,60610,US,IL,"['8 W Maple St', 'Chicago, IL 60610']"
FiDxI03abCAfA4pgl1NJ1w,butcher-and-the-bear-chicago,Butcher and the Bear,https://s3-media0.fl.yelpcdn.com/bphoto/waIww1UxsuopxVQ1qFif2Q/o.jpg,False,https://www.yelp.com/biz/butcher-and-the-bear-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,130,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,[],$$$$,+13129550306,(312) 955-0306,3841.5913308312643,41.93223470574105,-87.648727,2721 N Halsted St,,,Chicago,60614,US,IL,"['2721 N Halsted St', 'Chicago, IL 60614']"
XKUZV9O2sRFLDIpAmwmG5g,boka-chicago,Boka,https://s3-media0.fl.yelpcdn.com/bphoto/vwZ5WBrKuUyTpDf0YxftBQ/o.jpg,False,https://www.yelp.com/biz/boka-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1869,"[{'alias': 'newamerican', 'title': 'New American'}]",4.3,"['delivery', 'pickup']",$$$$,+13123376070,(312) 337-6070,2619.8070506036206,41.9135158,-87.6480859,1729 N Halsted St,,,Chicago,60614,US,IL,"['1729 N Halsted St', 'Chicago, IL 60614']"
mvFimrcREBIDo-pLAhMfNg,avec-chicago-chicago,Avec - Chicago,https://s3-media0.fl.yelpcdn.com/bphoto/qaNnaZ-GhXg8-gGZIeWY4g/o.jpg,False,https://www.yelp.com/biz/avec-chicago-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2604,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.3,"['delivery', 'pickup']",$$$,+13123772002,(312) 377-2002,3676.4029173236945,41.884290441849,-87.6433979433133,615 W Randolph St,,,Chicago,60661,US,IL,"['615 W Randolph St', 'Chicago, IL 60661']"
n5jRD0dlY6Dl672THS7yFA,mister-tiger-chicago,Mister Tiger,https://s3-media0.fl.yelpcdn.com/bphoto/nBGQQx_01FaL5bqywu9loA/o.jpg,False,https://www.yelp.com/biz/mister-tiger-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,54,"[{'alias': 'korean', 'title': 'Korean'}]",4.6,[],,+13122195211,(312) 219-5211,2377.173880885762,41.89129,-87.65596,1132 W Grand Ave,,,Chicago,60642,US,IL,"['1132 W Grand Ave', 'Chicago, IL 60642']"
FzYi3AVHoYZnWXe1BQrQEw,mott-st-chicago-2,Mott St,https://s3-media0.fl.yelpcdn.com/bphoto/iBWTHWKtysWkh3584nK-dw/o.jpg,False,https://www.yelp.com/biz/mott-st-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1110,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"['delivery', 'pickup']",$$,+17736879977,(773) 687-9977,881.6044146712651,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,,,Chicago,60622,US,IL,"['1401 N Ashland Ave', 'Chicago, IL 60622']"
